Dataset x,Dataset y
4.573759548143E-1,1.016521300448E-3
4.598366172182E-1,1.030239016265E-3
4.623607360519E-1,1.057306896282E-3
4.623936543947E-1,1.042477851947E-3
4.636232263128E-1,1.069648592846E-3
4.647646996672E-1,1.077540061125E-3
4.667008808295E-1,1.110258369704E-3
4.667898987283E-1,1.108306478822E-3
4.681362783985E-1,1.115346528624E-3
4.704829669663E-1,1.134463160913E-3
4.714417194771E-1,1.139607253129E-3
4.727842254883E-1,1.154959801960E-3
4.737832135719E-1,1.168234598682E-3
4.746307010436E-1,1.172030569969E-3
4.750605497989E-1,1.187546175802E-3
4.764911730580E-1,1.210464934738E-3
4.775751607039E-1,1.229341787374E-3
4.785433401828E-1,1.245520876783E-3
4.799006583051E-1,1.264390239469E-3
4.814518790164E-1,1.285955225396E-3
4.837167428185E-1,1.312002216796E-3
4.853646190938E-1,1.321989946436E-3
4.878189859639E-1,1.330125720824E-3
4.899484244354E-1,1.357162173236E-3
4.905237799047E-1,1.364934107750E-3
4.920264935766E-1,1.379297925121E-3
4.935741931974E-1,1.390419385765E-3
4.950454543278E-1,1.395678049975E-3
4.965017387329E-1,1.401142910235E-3
4.984913197906E-1,1.429394206903E-3
4.994200116815E-1,1.447596222390E-3
5.021185913316E-1,1.478312952426E-3
5.028690371049E-1,1.486869469915E-3
5.040923479710E-1,1.487647836787E-3
5.050341393796E-1,1.500783736548E-3
5.077481995487E-1,1.546280168015E-3
5.079536464982E-1,1.540522645574E-3
5.092647028837E-1,1.556251370033E-3
5.109218412559E-1,1.570418031727E-3
5.122951524745E-1,1.596438007522E-3
5.154344892275E-1,1.630743908579E-3
5.172032959904E-1,1.633396375442E-3
5.187611840303E-1,1.641456495344E-3
5.207900388395E-1,1.644642023563E-3
5.213604791910E-1,1.649187973970E-3
5.256152857105E-1,1.664966179369E-3
5.264200880920E-1,1.674995468612E-3
5.269013806884E-1,1.672744361021E-3
5.278164197710E-1,1.678867132937E-3
5.292055678794E-1,1.682224529983E-3
5.315535262028E-1,1.688726038373E-3
5.331613845223E-1,1.691607993689E-3
5.339514404394E-1,1.695727780368E-3
5.363186049081E-1,1.700612058943E-3
5.372712721798E-1,1.716575498493E-3
5.385006553753E-1,1.730946805813E-3
5.396938360867E-1,1.739557106956E-3
5.398102665378E-1,1.740994416020E-3
5.421361719569E-1,1.748853427850E-3
5.441666269250E-1,1.748797788223E-3
5.451717336263E-1,1.753451869297E-3
5.465203135474E-1,1.758384638242E-3
5.472055468011E-1,1.762412121465E-3
5.486148409182E-1,1.774865335299E-3
5.518541999337E-1,1.796900822787E-3
5.523651921972E-1,1.804032359544E-3
5.537170508884E-1,1.807596564066E-3
5.541328432899E-1,1.809025669852E-3
5.561611647128E-1,1.813291587353E-3
5.577230531499E-1,1.813248787640E-3
5.592849415869E-1,1.813205987927E-3
5.608468300239E-1,1.813163188214E-3
5.623081098033E-1,1.816544331876E-3
5.646213280260E-1,1.820725272862E-3
5.651630171625E-1,1.823248452228E-3
5.670877164434E-1,1.826496855388E-3
5.684725145166E-1,1.829249876288E-3
5.696833075327E-1,1.841731037361E-3
5.718803024256E-1,1.860877494843E-3
5.730205028229E-1,1.870719674484E-3
5.747487578606E-1,1.885836146035E-3
5.757972213438E-1,1.901344232094E-3
5.774687840055E-1,1.916423672351E-3
5.795656608608E-1,1.923688751997E-3
5.804914213122E-1,1.925356828225E-3
5.822819554709E-1,1.932960416921E-3
5.835493612914E-1,1.940932034750E-3
5.863527462299E-1,1.954263436177E-3
5.876014594754E-1,1.965050828257E-3
5.890386240630E-1,1.974929171401E-3
5.898096270166E-1,1.980920843441E-3
5.916059286572E-1,1.986780812331E-3
5.942118665234E-1,1.992774363436E-3
5.944769720562E-1,1.994361937663E-3
5.963207190388E-1,1.997751893156E-3
5.975163795043E-1,1.998703041662E-3
6.006469148278E-1,2.037654794964E-3
6.011230851458E-1,2.039941401333E-3
6.031076578593E-1,2.051848309940E-3
6.042473532594E-1,2.063341075825E-3
6.062021507147E-1,2.084714940279E-3
6.069389805525E-1,2.094958308595E-3
6.086105432143E-1,2.110037748851E-3
6.110054877711E-1,2.118817688860E-3
6.128068032584E-1,2.125768255760E-3
6.144788686685E-1,2.136063165862E-3
6.149241762496E-1,2.134829111002E-3
6.162168470790E-1,2.143410962656E-3
6.182719016859E-1,2.155042630813E-3
6.197049449206E-1,2.161761062449E-3
6.210266442941E-1,2.168037748080E-3
6.211741256064E-1,2.170606027351E-3
6.232982717834E-1,2.176618497040E-3
6.240056344727E-1,2.178003600571E-3
6.253423466756E-1,2.182871100546E-3
6.255297441739E-1,2.176145777724E-3
6.274225721020E-1,2.182749789066E-3
6.293206020546E-1,2.184466248656E-3
6.310981130153E-1,2.195851505552E-3
6.326902477896E-1,2.213634058999E-3
6.360368401240E-1,2.236770409179E-3
6.371677868774E-1,2.239620417472E-3
6.387278973601E-1,2.243178915366E-3
6.406010967120E-1,2.245288334275E-3
6.436139914639E-1,2.258890519068E-3
6.447642134650E-1,2.275424744938E-3
6.464693587210E-1,2.292784055908E-3
6.480725586679E-1,2.296941581188E-3
6.496344471049E-1,2.296898781475E-3
6.511963355419E-1,2.296855981763E-3
6.527582239789E-1,2.296813182050E-3
6.546314233308E-1,2.298922600958E-3
6.560929342443E-1,2.301835575931E-3
6.572379855096E-1,2.318297918515E-3
6.589431307656E-1,2.335657229484E-3
6.605463307126E-1,2.339814754765E-3
6.621082191496E-1,2.339771955052E-3
6.624723634592E-1,2.340362184720E-3
6.639937675055E-1,2.343231503899E-3
6.647163099986E-1,2.347263109395E-3
6.664610358518E-1,2.363540961089E-3
6.669459165558E-1,2.359671336777E-3
6.683781517871E-1,2.373361851270E-3
6.695162302012E-1,2.380597470817E-3
6.703458940092E-1,2.384333753805E-3
6.706719362388E-1,2.393556020731E-3
6.727108890880E-1,2.398884872765E-3
6.742502686231E-1,2.404261711987E-3
6.761318784398E-1,2.406911087760E-3
6.769521365624E-1,2.406348423270E-3
6.788591826089E-1,2.418990567685E-3
6.804355693111E-1,2.427243104724E-3
6.817029751316E-1,2.435214722554E-3
6.845063600702E-1,2.448546123981E-3
6.847810371002E-1,2.451669682969E-3
6.867707991473E-1,2.462271711187E-3
6.880765333904E-1,2.466990436720E-3
6.901582046615E-1,2.468648274059E-3
6.917200930985E-1,2.468605474346E-3
6.932806480698E-1,2.471263647838E-3
6.948398695754E-1,2.476622794535E-3
6.964004245467E-1,2.479280968027E-3
6.984287459697E-1,2.483546885528E-3
6.994703900278E-1,2.491526118871E-3
7.011317242838E-1,2.493427697902E-3
7.024367406515E-1,2.511526797599E-3
7.036661238470E-1,2.525898104920E-3
7.049757350095E-1,2.535945715127E-3
7.073016404286E-1,2.543804726956E-3
7.091748397805E-1,2.545914145865E-3
7.110538227623E-1,2.556081200670E-3
7.122590901370E-1,2.564376061330E-3
7.137908403962E-1,2.581440019689E-3
7.150920622070E-1,2.591084250429E-3
7.156566410770E-1,2.602301858754E-3
7.184828100376E-1,2.627127336403E-3
7.194494312132E-1,2.621773286682E-3
7.201601788263E-1,2.651327780708E-3
7.204852651883E-1,2.640265610755E-3
7.212389901962E-1,2.665247913327E-3
7.223269991940E-1,2.691044198270E-3
7.250817923154E-1,2.731806872307E-3
7.252993572225E-1,2.741560294957E-3
7.268460590723E-1,2.764745966711E-3
7.273631326428E-1,2.771934295353E-3
7.290536410749E-1,2.788183622335E-3
7.309358557666E-1,2.798395604195E-3
7.321563753041E-1,2.817538809176E-3
7.335747767032E-1,2.833738634054E-3
7.336808770129E-1,2.839241717705E-3
7.368275058389E-1,2.846851017972E-3
7.390402741498E-1,2.854134357903E-3
7.401954437849E-1,2.856880809603E-3
7.415462596212E-1,2.867578945257E-3
7.426683636448E-1,2.879552359709E-3
7.446496861945E-1,2.905574966852E-3
7.463861185521E-1,2.919192837555E-3
7.470541023468E-1,2.922004085797E-3
7.487374596717E-1,2.924491693352E-3
7.512181534255E-1,2.961546589973E-3
7.516748659752E-1,2.962947136356E-3
7.535863134113E-1,2.989271333609E-3
7.554854920101E-1,3.017849219933E-3
7.562194326722E-1,3.033944696859E-3
7.572695985467E-1,3.051026139056E-3
7.588402473779E-1,3.077177897731E-3
7.593564319711E-1,3.086166875177E-3
7.609533854779E-1,3.105487544317E-3
7.620285714031E-1,3.122106140627E-3
7.627169360578E-1,3.133851357381E-3
7.637826298499E-1,3.150237847502E-3
7.643178491113E-1,3.160216646793E-3
7.655591812712E-1,3.176748376013E-3
7.672400259659E-1,3.199390184579E-3
7.675754126050E-1,3.205503117239E-3
7.703373635481E-1,3.226494738748E-3
7.728041970366E-1,3.265260608396E-3
7.739935359591E-1,3.276379884871E-3
7.759852627483E-1,3.294133482237E-3
7.774655636390E-1,3.314349943215E-3
7.784471837860E-1,3.335693884147E-3
7.787101199848E-1,3.328195652624E-3
7.798875022988E-1,3.348641205195E-3
7.810183831834E-1,3.359659190743E-3
7.814764397184E-1,3.362856894980E-3
7.824530271751E-1,3.380836378432E-3
7.834603354604E-1,3.404381521906E-3
7.843475074980E-1,3.421190477359E-3
7.868962297851E-1,3.457541266293E-3
7.874818144799E-1,3.457775306512E-3
7.891283022135E-1,3.480438063485E-3
7.891798232250E-1,3.489589825931E-3
7.921330813143E-1,3.527322012458E-3
7.942660097923E-1,3.556973868107E-3
7.967867434481E-1,3.592016970239E-3
7.989196719261E-1,3.621668825888E-3
8.015126052517E-1,3.648877233238E-3
8.040525683168E-1,3.664743158115E-3
8.046217048352E-1,3.671930060101E-3
8.080454137166E-1,3.697044983979E-3
8.098142204795E-1,3.699697450842E-3
8.106344786021E-1,3.699134786352E-3
8.137981543591E-1,3.716154025805E-3
8.150094030552E-1,3.722062895174E-3
8.157118972610E-1,3.722763894825E-3
8.181601776108E-1,3.759564591193E-3
8.186891383140E-1,3.763389284870E-3
8.199264913486E-1,3.780448448858E-3
8.210225481928E-1,3.785424150066E-3
8.224124448838E-1,3.806849506726E-3
8.237663430369E-1,3.823858317870E-3
8.268112856011E-1,3.847243017280E-3
8.276639168592E-1,3.850782317093E-3
