Dataset x,Dataset y
5.971123806689E-1,6.372349758490E-3
5.996108085009E-1,6.428214137818E-3
6.021185762500E-1,6.428097388854E-3
6.050411919849E-1,6.446621557826E-3
6.071247718311E-1,6.483845019217E-3
6.096138597460E-1,6.595690526837E-3
6.121122875780E-1,6.651554906165E-3
6.146200553271E-1,6.651438157201E-3
6.171278230763E-1,6.651321408236E-3
6.196355908254E-1,6.651204659272E-3
6.221433585745E-1,6.651087910308E-3
6.246511263237E-1,6.650971161344E-3
6.271588940728E-1,6.650854412380E-3
6.296666618219E-1,6.650737663416E-3
6.321744295711E-1,6.650620914452E-3
6.350970453060E-1,6.669145083424E-3
6.371806251522E-1,6.706368544815E-3
6.396790529842E-1,6.762232924143E-3
6.426790343660E-1,6.818073953678E-3
6.457776185873E-1,6.855516736338E-3
6.496821042293E-1,6.929709313162E-3
6.521805320613E-1,6.985573692490E-3
6.546882998105E-1,6.985456943526E-3
6.576109155454E-1,7.003981112498E-3
6.596944953916E-1,7.041204573889E-3
6.626077712094E-1,7.115709871154E-3
6.646913510556E-1,7.152933332545E-3
6.671804389705E-1,7.264778840165E-3
6.696788668025E-1,7.320643219492E-3
6.721866345516E-1,7.320526470528E-3
6.746944023008E-1,7.320409721564E-3
6.772021700499E-1,7.320292972600E-3
6.801247857848E-1,7.338817141572E-3
6.822083656310E-1,7.376040602964E-3
6.847067934630E-1,7.431904982291E-3
6.872145612122E-1,7.431788233327E-3
6.897223289613E-1,7.431671484363E-3
6.926449446962E-1,7.450195653336E-3
6.947285245424E-1,7.487419114727E-3
6.972176124573E-1,7.599264622346E-3
6.997160402893E-1,7.655129001674E-3
7.022238080384E-1,7.655012252710E-3
7.047315757876E-1,7.654895503746E-3
7.076541915225E-1,7.673419672718E-3
7.097377713687E-1,7.710643134109E-3
7.122361992007E-1,7.766507513437E-3
7.147439669498E-1,7.766390764473E-3
7.176665826848E-1,7.784914933445E-3
7.197501625310E-1,7.822138394837E-3
7.222485903630E-1,7.878002774164E-3
7.252485717448E-1,7.933843803699E-3
7.289736420264E-1,7.985919030536E-3
7.322609815252E-1,7.989498034892E-3
7.365664238796E-1,8.070158596986E-3
7.397656049384E-1,8.101110044583E-3
7.422733726875E-1,8.100993295619E-3
7.447811404366E-1,8.100876546655E-3
7.469660973000E-1,8.156755519603E-3
7.488375831947E-1,8.212649086172E-3
7.522764239326E-1,8.268469684638E-3
7.547748517646E-1,8.324334063966E-3
7.572826195138E-1,8.324217315001E-3
7.602052352487E-1,8.342741483974E-3
7.622888150949E-1,8.379964945365E-3
7.647872429269E-1,8.435829324693E-3
7.672950106761E-1,8.435712575729E-3
7.702176264110E-1,8.454236744701E-3
7.723012062572E-1,8.491460206092E-3
7.747996340892E-1,8.547324585420E-3
7.777222498241E-1,8.565848754393E-3
7.798058296703E-1,8.603072215784E-3
7.823042575023E-1,8.658936595111E-3
7.848120252515E-1,8.658819846147E-3
7.877346409864E-1,8.677344015120E-3
7.898182208326E-1,8.714567476511E-3
7.927314966504E-1,8.789072773775E-3
7.948150764966E-1,8.826296235166E-3
7.973135043286E-1,8.882160614494E-3
8.001353559784E-1,8.972298111599E-3
8.042421661855E-1,9.105760824983E-3
8.077220636424E-1,9.124259049742E-3
8.098056434886E-1,9.161482511133E-3
8.127189193064E-1,9.235987808397E-3
8.148024991526E-1,9.273211269788E-3
8.173009269846E-1,9.329075649116E-3
8.202235427196E-1,9.347599818088E-3
8.223071225658E-1,9.384823279480E-3
8.248055503978E-1,9.440687658807E-3
8.291109927521E-1,9.521348220902E-3
8.323101738109E-1,9.552299668499E-3
8.366156161652E-1,9.632960230593E-3
8.398147972240E-1,9.663911678190E-3
8.423225649732E-1,9.663794929226E-3
8.452451807081E-1,9.682319098198E-3
8.473287605543E-1,9.719542559589E-3
8.498178484692E-1,9.831388067209E-3
8.523162763012E-1,9.887252446537E-3
8.548240440503E-1,9.887135697573E-3
8.573318117994E-1,9.887018948609E-3
8.598395795486E-1,9.886902199644E-3
8.623473472977E-1,9.886785450680E-3
8.648551150468E-1,9.886668701716E-3
8.680542961057E-1,9.917620149313E-3
8.699121742600E-1,1.001332284253E-2
8.723503985429E-1,1.005426183970E-2
8.765770223743E-1,1.010631371674E-2
8.816620364783E-1,1.019067003216E-2
8.866588921423E-1,1.030239879081E-2
8.907805845992E-1,1.044060362011E-2
8.948455889480E-1,1.050106012536E-2
8.973440167800E-1,1.055692450468E-2
8.998517845291E-1,1.055680775572E-2
9.023595522783E-1,1.055669100676E-2
9.059434341459E-1,1.061996894531E-2
9.086102918168E-1,1.066836139093E-2
9.130288509453E-1,1.073906456360E-2
9.173687991045E-1,1.077991502614E-2
9.198672269366E-1,1.083577940547E-2
9.223656547686E-1,1.089164378479E-2
9.248734225177E-1,1.089152703583E-2
9.291788648720E-1,1.097218759793E-2
9.323710409930E-1,1.104512489174E-2
9.362524770539E-1,1.107853260782E-2
9.386287854694E-1,1.111480942970E-2
9.416803439491E-1,1.119552836627E-2
9.448795250080E-1,1.122647981387E-2
9.473872927571E-1,1.122636306490E-2
9.498950605062E-1,1.122624631594E-2
9.536473722128E-1,1.128205232079E-2
9.566895907754E-1,1.141875238565E-2
9.607091278887E-1,1.154296679742E-2
9.636130637894E-1,1.167345322297E-2
9.669349609816E-1,1.180392019037E-2
9.691537101841E-1,1.186601766717E-2
9.723528912429E-1,1.189696911477E-2
9.752755069778E-1,1.191549328374E-2
9.773590868240E-1,1.195271674513E-2
9.798481747389E-1,1.206456225275E-2
9.827614505567E-1,1.213906755001E-2
9.848450304029E-1,1.217629101140E-2
9.873434582349E-1,1.223215539073E-2
9.898512259840E-1,1.223203864177E-2
9.927738417190E-1,1.225056281074E-2
9.948574215652E-1,1.228778627213E-2
9.973558493972E-1,1.234365065146E-2
9.998566122084E-1,1.238551974871E-2
1.002861730545E0,1.241057115769E-2
1.006588668810E0,1.245145015887E-2
1.009876008309E0,1.245502916322E-2
1.014177040146E0,1.256212525812E-2
1.017380631722E0,1.256664117291E-2
1.020303247457E0,1.258516534189E-2
1.022386827303E0,1.262238880328E-2
1.024875915218E0,1.273423431090E-2
1.027374343050E0,1.279009869022E-2
1.031679785404E0,1.287075925232E-2
1.035293814449E0,1.292035161785E-2
1.037377394295E0,1.295757507924E-2
1.039862331135E0,1.309430108833E-2
1.042364910042E0,1.312528496619E-2
1.044872677791E0,1.312516821723E-2
1.047380445540E0,1.312505146826E-2
1.049888213289E0,1.312493471930E-2
1.052388976100E0,1.316680381655E-2
1.055394094437E0,1.319185522553E-2
1.059121032702E0,1.323273422671E-2
1.062408372201E0,1.323631323106E-2
1.064909135012E0,1.327818232832E-2
1.067914253348E0,1.330323373729E-2
1.070919527350E0,1.332735212746E-2
1.074218437968E0,1.342858580285E-2
1.077417619027E0,1.345953725044E-2
1.079925386776E0,1.345942050148E-2
1.082848002511E0,1.347794467045E-2
1.084931582357E0,1.351516813184E-2
1.087439350106E0,1.351505138288E-2
1.089937777938E0,1.357091576221E-2
1.092860393673E0,1.358943993118E-2
1.094943973519E0,1.362666339257E-2
1.097433061434E0,1.373850890019E-2
1.099931489266E0,1.379437327952E-2
1.102439257015E0,1.379425653055E-2
1.105361872750E0,1.381278069953E-2
1.107445452596E0,1.385000416092E-2
1.109943880428E0,1.390586854025E-2
1.113527762296E0,1.396914647879E-2
1.116194619967E0,1.401753892442E-2
1.119246178447E0,1.409825786100E-2
1.122445359506E0,1.412920930859E-2
1.125367975241E0,1.414773347757E-2
1.127451555087E0,1.418495693896E-2
1.129949982919E0,1.424082131828E-2
1.132457750668E0,1.424070456932E-2
1.135380366403E0,1.425922873829E-2
1.137463946249E0,1.429645219968E-2
1.139971713998E0,1.429633545072E-2
1.144468884096E0,1.439689133351E-2
1.147976022978E0,1.441912033628E-2
1.151702961243E0,1.445999933745E-2
1.154990300742E0,1.446357834181E-2
1.157498068491E0,1.446346159285E-2
1.160005836240E0,1.446334484388E-2
1.167519799570E0,1.451897572528E-2
1.170027567319E0,1.451885897632E-2
1.172525995151E0,1.457472335565E-2
1.175448610886E0,1.459324752462E-2
1.177532190732E0,1.463047098601E-2
1.180021278647E0,1.474231649363E-2
